RMSE,MAE,training_time,num_parameters,final_train_loss,final_val_loss,best_val_loss,model_type,architecture,window_size,hidden_size,num_layers
0.7891749311361496,0.6227834820747375,2.2182798385620117,19463,0.5213363220294317,0.6029570698738098,0.6029570698738098,LSTM,small,30,64,1
0.8128896659174499,0.6407138109207153,3.663710594177246,207879,0.5695799390474955,0.6522983511288961,0.6522983511288961,LSTM,medium,30,128,2
0.8117275233891469,0.6478585004806519,5.814119100570679,1351687,0.4718238140145938,0.6219040155410767,0.5920734802881876,LSTM,large,30,256,3
0.7823685839783504,0.6384638547897339,7.52342963218689,1878023,0.4713535284002622,0.6014260450998942,0.579521636168162,LSTM,extra_large,30,256,4
0.7849583922129205,0.6418034434318542,9.144653558731079,2404359,0.47347700595855713,0.6344745755195618,0.5855708320935568,LSTM,huge,30,256,5
0.7690880365638821,0.6182166337966919,2.0257503986358643,15175,0.5161428302526474,0.5879508455594381,0.5879508455594381,GRU,small,30,64,1
0.7411235612072605,0.6029673218727112,2.3677773475646973,158087,0.46405800183614093,0.5571955045064291,0.5556018352508545,GRU,medium,30,128,2
0.7399238599449119,0.6011423468589783,3.4387240409851074,1022215,0.4505805124839147,0.5575643678506216,0.5532960891723633,GRU,large,30,256,3
0.7429963372500925,0.6050074696540833,3.947556972503662,1416967,0.46308733522892,0.5582191745440165,0.5516921877861023,GRU,extra_large,30,256,4
0.769300280924014,0.6286657452583313,6.046622276306152,1811719,0.4409223794937134,0.5997529625892639,0.5696959594885508,GRU,huge,30,256,5
0.7746840555930804,0.6219485402107239,1.6805047988891602,19463,0.5342084602876143,0.6112979849179586,0.6112979849179586,LSTM,small,90,64,1
0.7631223608872677,0.609980583190918,7.778856992721558,207879,0.5212357884103601,0.5925145347913107,0.5916947325070699,LSTM,medium,90,128,2
0.7582547185482486,0.6111195087432861,14.85995078086853,1351687,0.4895681115713986,0.5685761769612631,0.5653839111328125,LSTM,large,90,256,3
0.7694420932300816,0.624199628829956,14.63011360168457,1878023,0.4722203476862474,0.5794582863648733,0.5616032083829244,LSTM,extra_large,90,256,4
0.8020618155099069,0.634712815284729,26.35549283027649,2404359,0.46885720979083667,0.6338361899058024,0.5508605440457662,LSTM,huge,90,256,5
0.7503691003463616,0.6117132306098938,1.653665542602539,15175,0.510675313797864,0.5736187696456909,0.5722478628158569,GRU,small,90,64,1
0.7938421541319659,0.6366018056869507,4.219914436340332,158087,0.5047041611237959,0.614790658156077,0.5731034874916077,GRU,medium,90,128,2
0.7473547699355279,0.609655499458313,7.5052385330200195,1022215,0.4427242875099182,0.5686570008595785,0.5502892931302389,GRU,large,90,256,3
0.7357374093407154,0.5976709723472595,9.102217197418213,1416967,0.438284925439141,0.5691173473993937,0.552891731262207,GRU,extra_large,90,256,4
0.7591691212940697,0.6115102767944336,14.1858229637146,1811719,0.43293722651221533,0.5944154063860575,0.5650595625241598,GRU,huge,90,256,5
0.764934695703961,0.6135976314544678,2.3221449851989746,19463,0.5387042327360674,0.6041385531425476,0.6041385531425476,LSTM,small,180,64,1
0.8754862047586746,0.6895959973335266,13.46761965751648,207879,0.6331941431218927,0.7569754322369894,0.7569323380788168,LSTM,medium,180,128,2
0.8760627015287705,0.6931943893432617,23.558643579483032,1351687,0.6177037466656078,0.7538881500562032,0.5495341718196869,LSTM,large,180,256,3
0.7345437200997474,0.6041545867919922,33.39810276031494,1878023,0.4521114013411782,0.5542090932528178,0.5449860890706381,LSTM,extra_large,180,256,4
0.8832971036126972,0.7001613974571228,36.963592529296875,2404359,0.6257483308965509,0.7842583060264587,0.5666200518608093,LSTM,huge,180,256,5
0.7863936660823918,0.6237145662307739,2.360889196395874,15175,0.5522136850790544,0.6192115942637125,0.608501136302948,GRU,small,180,64,1
0.864843827189896,0.6839306950569153,6.422021865844727,158087,0.621844161640514,0.7489367127418518,0.5615995327631632,GRU,medium,180,128,2
0.7650020945900559,0.6083361506462097,11.007319688796997,1022215,0.5287965373559431,0.5818257331848145,0.5794514815012614,GRU,large,180,256,3
0.734270291269829,0.5976415872573853,31.02122163772583,1416967,0.4635854878208854,0.5583140254020691,0.5565804640452067,GRU,extra_large,180,256,4
0.7604563106148859,0.6176958084106445,28.541113138198853,1811719,0.43615423278375104,0.5874273180961609,0.5576793551445007,GRU,huge,180,256,5
0.8854675203566919,0.6961827278137207,1.3268518447875977,19463,0.6352251052856446,0.7999247908592224,0.7969518303871155,LSTM,small,365,64,1
0.8870741682234647,0.6981269121170044,10.998696327209473,207879,0.6433274686336518,0.8066489497820536,0.8046515385309855,LSTM,medium,365,128,2
0.9116963139431762,0.7238579988479614,32.72661519050598,1351687,0.6774879038333893,0.8481765190760294,0.6260892550150553,LSTM,large,365,256,3
0.8083996009864369,0.6398695111274719,71.15389823913574,1878023,0.5663596391677856,0.6716180245081583,0.6611039241154989,LSTM,extra_large,365,256,4
0.7403376363832177,0.6069574356079102,87.84134101867676,2404359,0.49635628759860995,0.6002267301082611,0.5894410113493601,LSTM,huge,365,256,5
0.7554367027073365,0.6082229614257812,4.202718734741211,15175,0.5527955651283264,0.6275102694829305,0.62428151567777,GRU,small,365,64,1
0.7364907325477512,0.5984477400779724,15.655059099197388,158087,0.4775110691785812,0.5864415566126505,0.5851680835088094,GRU,medium,365,128,2
0.7391557308048919,0.6026791930198669,32.06778621673584,1022215,0.48437823355197906,0.5945882598559061,0.5837816596031189,GRU,large,365,256,3
0.7421444529045884,0.6027279496192932,48.35200214385986,1416967,0.47651555240154264,0.60027743379275,0.5993455449740092,GRU,extra_large,365,256,4
0.753718693780543,0.6042870879173279,61.94697451591492,1811719,0.45738516449928285,0.6084492802619934,0.5902399122714996,GRU,huge,365,256,5
